Date,Sales
2021-01-01,2054
2021-01-02,2130
2021-01-03,1988
2021-01-04,2201
2021-01-05,2244
2021-01-06,2199
2021-01-07,2305
2021-01-08,2401
2021-01-09,2440
2021-01-10,2322
2021-01-11,2460
2021-01-12,2501
2021-01-13,2490
2021-01-14,2588
2021-01-15,2604
2021-01-16,2680
2021-01-17,2555
2021-01-18,2702
2021-01-19,2766
2021-01-20,2804
2021-01-21,2877
2021-01-22,2902
2021-01-23,2988
2021-01-24,2866
2021-01-25,3020
2021-01-26,3099
2021-01-27,3110
2021-01-28,3188
2021-01-29,3221
2021-01-30,3304
2021-02-01,3455
2021-03-01,3510
2021-04-01,3604
2021-05-01,3720
2021-06-01,3899
2021-07-01,4010
2021-08-01,4122
2021-09-01,4208
2021-10-01,4290
2021-11-01,4411
2021-12-01,4504
2022-01-01,4620
2022-02-01,4701
2022-03-01,4822
2022-04-01,4955
2022-05-01,5099
2022-06-01,5204
2022-07-01,5310
2022-08-01,5440
2022-09-01,5524
2022-10-01,5630
2022-11-01,5740
2022-12-01,5855
2023-01-01,5999
2023-02-01,6100
2023-03-01,6210
2023-04-01,6304
2023-05-01,6455
2023-06-01,6501
2023-07-01,6620
2023-08-01,6750
2023-09-01,6880
2023-10-01,6999
2023-11-01,7104
2023-12-01,7255
